,name,gcn_name,time,trigger_met,ra,dec,lii,bii,error_radius,redshift,luminosity_distance,theta,zenith,arr_flag,distance_to_closest,irfs,lle_bbbd_sig,lle_bbbd_sig_detected,lle_t05,lle_t90,lle_t95,tl0,tl100,tl100_error,tl1,tl0_lower,tl1_upper,like_best_t0,like_best_t1,like_best_ts,like_best_flux,like_best_flux_error,like_best_flux_ene,like_best_flux_ene_error,like_best_fluence,like_best_fluence_error,like_best_grbindex,like_best_grbindex_error,like_best_eiso_rf,like_best_eiso_rf_error,like_lat_t0,like_lat_t1,like_lat_ts,like_lat_flux,like_lat_flux_error,like_lat_flux_ene,like_lat_flux_ene_error,like_lat_fluence,like_lat_fluence_error,like_lat_grbindex,like_lat_grbindex_error,like_lat_eiso_rf,like_lat_eiso_rf_error,like_gbm_t0,like_gbm_t1,like_gbm_ts,like_gbm_flux,like_gbm_flux_error,like_gbm_flux_ene,like_gbm_flux_ene_error,like_gbm_fluence,like_gbm_fluence_error,like_gbm_grbindex,like_gbm_grbindex_error,like_gbm_eiso_rf,like_gbm_eiso_rf_error,like_ext_t0,like_ext_t1,like_ext_ts,like_ext_flux,like_ext_flux_error,like_ext_flux_ene,like_ext_flux_ene_error,like_ext_fluence,like_ext_fluence_error,like_ext_grbindex,like_ext_grbindex_error,like_ext_eiso_rf,like_ext_eiso_rf_error,ext_emission_max_ene,ext_emission_max_ene_p,ext_emission_max_ene_t,ext_emission_n,lat_bpl_chi2,lat_bpl_f0,lat_bpl_f0_error,lat_bpl_index1,lat_bpl_index1_error,lat_bpl_index2,lat_bpl_index2_error,lat_bpl_timebreak,lat_bpl_timebreak_error,lat_spl_chi2,lat_spl_index1,lat_spl_index1_error,lat_f0,lat_f0_error,late_index,late_index_error,su_tsinput,gbm_cat_name,gbm_cat_t05,gbm_cat_t90,gbm_cat_t90_error,gbm_cat_t95,gbm_cat_fluence,gbm_cat_fluence_error,flux_ratio,flux_ene_ratio,fluence_ratio,hardness,flux_ratio_error,flux_ene_ratio_error,fluence_ratio_error,hardness_error,like_gbm-lat_time_difference,gbm-lle_t90_difference
15,GRB170127067,b'GRB170127C      ',57780.0665162,507173752.79,338.98,-63.97,324.0439,-47.2212,0.52,0.0,0.0,142.2202,92.2346,1,6.68,b'P8_TRANSIENT010E              ',0.0,0,0.0,0.0,0.0,664.76001,2224.23999,45.69,2889.0,599.40002,2915.02002,664.76001,2889.0,35.9158,1.21421e-06,3.86321e-07,4.02101e-10,1.50165e-10,8.94369e-07,3.34002e-07,-2.93226,0.500394,0.0,0.0,664.76001,2889.0,35.9158,1.21421e-06,3.86321e-07,4.02101e-10,1.50165e-10,8.94369e-07,3.34002e-07,-2.93226,0.500394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.128,2889.0,32.9698,1.18773e-06,3.82946e-07,3.58363e-10,1.22551e-10,1.03526e-06,3.54033e-07,-3.12808,0.549061,0.0,0.0,510.0,1.0,2889.0,10.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,b'GRB170127067',0.0,0.128,0.045,0.128,5.5868e-06,5.3191e-08,0.0,0.0,0.0,inf,,,,,-664.76001,0.128
21,GRB200219317,b'GRB200219A      ',58898.3172338,603790614.1,342.88,-60.2,326.2541,-51.1517,0.29,0.0,0.0,47.8789,90.4604,0,4.89,b'P8_TRANSIENT020E              ',7.3,1,0.061,0.213,0.274,1.33,1.0,0.505,2.33,1.32,3.33,0.0,5.15,30.3474,7.89479e-05,5.65638e-05,3.27876e-07,5.37367e-07,1.68856e-06,2.76744e-06,-1.55926,0.47236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.088,2.33,24.6015,0.000150844,0.000151807,2.12151e-06,3.75336e-06,2.63492e-06,4.66167e-06,-1.18344,0.530713,0.0,0.0,1900.0,1.0,1.33,2.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,b'GRB200219317',-0.064,1.152,1.032,1.088,1.5848e-06,4.0037e-08,,,,,,,,,0.0,0.939
23,GRB160422499,b'GRB160422A      ',57500.4993056,483019144.81,42.05,-57.9,277.392,-53.049,0.1,0.0,0.0,53.5374,102.3662,1,3.96,b'P8_TRANSIENT010E              ',0.0,0,0.0,0.0,0.0,769.62,291.82001,256.82501,1061.43994,547.78998,1353.26001,0.0,4000.0,36.3122,2.93755e-07,1.73305e-07,3.12231e-09,2.71954e-09,1.24892e-05,1.08782e-05,-1.27483,0.304098,0.0,0.0,769.62,1061.43994,14.5211,4.11962e-06,0.0,4.56392e-09,0.0,1.33184e-06,0.0,-1.42195,0.438814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.12,1061.43994,36.1882,9.39697e-07,5.8634e-07,1.09782e-08,1.07949e-08,1.15087e-05,1.13165e-05,-1.2446,0.325346,0.0,0.0,12000.0,1.0,769.62,2.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,b'GRB160422499',0.832,12.288,0.362,13.12,8.8021e-05,7.0522e-08,0.0,0.0,0.0,inf,,,,,-769.62,12.288
25,GRB141222298,b'GRB141222A      ',57013.2978819,440924940.39,178.0,-57.31,294.9442,4.6371,0.08,0.0,0.0,45.8852,93.4996,0,3.73,b'P8_TRANSIENT020E              ',8.2,1,-0.031,1.293,1.262,34.21,406.34,12.39,440.54999,33.04,464.16,2.752,440.54999,38.9478,7.6502e-06,2.83792e-06,6.73908e-09,4.25943e-09,2.95036e-06,1.86477e-06,-2.09906,0.326023,0.0,0.0,34.21,440.54999,38.9406,7.71704e-06,2.79937e-06,6.82813e-09,4.35757e-09,2.77454e-06,1.77066e-06,-2.09701,0.317263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.752,440.54999,38.9478,7.6502e-06,2.83792e-06,6.73908e-09,4.25943e-09,2.95036e-06,1.86477e-06,-2.09906,0.326023,0.0,0.0,3600.0,1.0,227.42,11.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00490997,1.3342,0.396129,-2.10559,0.90222,1.3342,0.396129,150.0,b'GRB141222298',0.0,2.752,0.264,2.752,9.2055e-06,3.8177e-08,0.0,0.0,0.0,inf,,,,,-34.21,1.4589999999999999
33,GRB090720710,b'GRB090720B      ',55032.7103704,269802178.9,203.638,-51.198,309.7906,11.0987,0.99,0.0,0.0,56.3287,94.2056,1,1.0,b'P8_TRANSIENT020E              ',0.0,0,0.0,0.0,0.0,0.12,1.56,0.37,1.68,0.11,2.41,0.0,10.0,50.9816,0.000213243,8.63653e-05,9.77299e-08,7.36111e-08,9.77299e-07,7.36111e-07,-2.51342,0.636268,0.0,0.0,0.12,1.68,50.5292,0.000987758,0.000457779,6.44754e-07,7.09798e-07,1.00582e-06,1.10729e-06,-2.25503,0.542282,0.0,0.0,-0.256,10.496,49.9781,0.000198101,8.04277e-05,8.93551e-08,6.70667e-08,9.60746e-07,7.21101e-07,-2.52832,0.648902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430.0,1.0,1.68,5.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,b'GRB090720710',-0.256,10.752,1.056,10.496,1.4237e-05,2.3723e-08,0.20055620911194846,0.13858789553845344,0.9551868127497961,1.0469156259823098,0.15896951422081176,0.17878525259396638,1.2322386047717384,1.4666188280367471,-0.376,10.752
36,GRB100620119,b'GRB100620A      ',55367.1190856,298695091.12,87.68,-50.66,257.9704,-30.0254,1.24,0.0,0.0,25.2451,73.3437,0,3.22,b'P8_TRANSIENT020E              ',0.0,0,0.0,0.0,0.0,3.75,39.05,6.105,42.8,3.51,54.77,0.192,52.033,27.5217,1.82768e-05,7.7236e-06,4.74861e-09,2.22433e-09,2.46173e-07,1.15312e-07,-3.60146,1.021,0.0,0.0,3.75,42.8,20.8577,1.63992e-05,8.63987e-06,3.74366e-09,2.17911e-09,1.4619e-07,8.50942e-08,-4.3359,1.61284,0.0,0.0,0.192,52.033,27.5217,1.82768e-05,7.7236e-06,4.74861e-09,2.22433e-09,2.46173e-07,1.15312e-07,-3.60146,1.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,1.0,3.75,5.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,b'GRB100620119',0.192,51.841,8.518,52.033,3.7157e-06,8.4303e-08,1.1144933899214595,1.268440510089057,1.6839250290717562,0.5938506659950522,0.9360614504504642,1.1355870198308704,1.5075553835010689,0.5335526249948246,-3.558,51.841
42,GRB141102536,b'GRB141102A      ',56963.5358681,436625502.26,209.07,-46.73,314.3418,14.7002,0.68,0.0,0.0,52.3349,53.465,1,2.58,b'P8_TRANSIENT020E              ',0.0,0,0.0,0.0,0.0,3.55,54.17,1.115,57.72,1.32,57.72,2.56,34.54,48.5449,5.59796e-05,2.32405e-05,6.13754e-08,5.85282e-08,1.96279e-06,1.87173e-06,-2.00407,0.381373,0.0,0.0,3.55,34.54,40.1892,4.72661e-05,2.15743e-05,6.5722e-08,7.03695e-08,2.03673e-06,2.18075e-06,-1.91217,0.387536,0.0,0.0,-0.064,2.56,3.38825,0.000578584,0.0,6.40984e-07,0.0,1.68194e-06,0.0,-3.42118,2.05809,0.0,0.0,2.56,34.54,48.5449,5.59796e-05,2.32405e-05,6.13754e-08,5.85282e-08,1.96279e-06,1.87173e-06,-2.00407,0.381373,0.0,0.0,640.0,0.97,30.91,7.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00234063,1.03484,0.183393,-3.09904,0.297783,1.03484,0.183393,34.0,b'GRB141102536',-0.064,2.624,0.326,2.56,1.4195e-06,4.1208e-08,12.240993016136303,9.752959435196738,0.8258041075645766,1.2109409372510316,8.27008783570806,10.091907586916284,0.8545023257769496,1.2965682485701038,-3.614,2.624
51,GRB210202841,b'GRB210202A      ',59247.8406366,633989436.3,229.81,-38.04,332.4724,16.211,0.61,0.0,0.0,45.9691,35.6849,0,4.5,b'P8_TRANSIENT020E              ',0.0,0,0.0,0.0,0.0,0.91,37.74,5.54,38.65,0.81,49.63,0.0,88.11,51.9798,2.57778e-05,9.25845e-06,3.55635e-08,2.77168e-08,3.1335e-06,2.44213e-06,-1.91506,0.294044,0.0,0.0,0.91,38.65,43.1857,5.00422e-05,1.93088e-05,3.87909e-08,3.04081e-08,1.46397e-06,1.1476e-06,-2.16106,0.389661,0.0,0.0,0.768,18.432,7.03556,0.000103006,0.0,1.14115e-07,0.0,2.01572e-06,0.0,-2.55066,0.844398,0.0,0.0,18.432,38.65,40.4192,5.12944e-05,2.37113e-05,5.98375e-08,6.70422e-08,1.2098e-06,1.35546e-06,-1.97913,0.434185,0.0,0.0,1400.0,0.97,19.34,6.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,b'GRB210202841',0.768,17.664,0.572,18.432,1.5544e-05,2.6729e-08,2.0583827249801168,2.941798205249169,1.3768861383771525,0.7262764669696188,1.2786025708712845,2.604609337223776,1.219065972174298,0.5693251046772368,-0.14200000000000002,17.664
65,GRB180703949,b'GRB180703B      ',58302.9492014,552350816.32,96.92,-29.88,237.9491,-17.8795,0.44,0.0,0.0,32.2084,44.3668,0,4.61,b'P8_TRANSIENT020E              ',0.0,0,0.0,0.0,0.0,8.0,70.55,22.205,78.55,7.92,122.88,1.664,34.22,42.9003,1.84416e-05,9.32989e-06,5.90437e-08,7.24369e-08,1.92223e-06,2.35826e-06,-1.63769,0.358289,0.0,0.0,8.0,34.22,27.1636,1.71484e-05,1.00718e-05,4.66272e-08,6.75649e-08,1.22256e-06,1.77155e-06,-1.68796,0.433091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.664,34.22,42.9003,1.84416e-05,9.32989e-06,5.90437e-08,7.24369e-08,1.92223e-06,2.35826e-06,-1.63769,0.358289,0.0,0.0,1100.0,1.0,34.22,5.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,b'GRB180703949',0.128,1.536,0.091,1.664,8.8488e-06,1.8159e-08,0.0,0.0,0.0,inf,,,,,-8.0,1.536
66,GRB120830297,b'GRB120830A      ',56169.2965625,368003226.54,88.59,-28.79,234.1716,-24.3213,0.62,0.0,0.0,38.7316,75.334,0,3.28,b'P8_TRANSIENT020E              ',0.0,0,0.0,0.0,0.0,0.66,10.02,0.18,10.68,0.59,10.97,0.66,10.68,70.708,0.000105102,4.34967e-05,1.4096e-07,1.45766e-07,1.41242e-06,1.46058e-06,-1.92554,0.374183,0.0,0.0,0.66,10.68,70.708,0.000105102,4.34967e-05,1.4096e-07,1.45766e-07,1.41242e-06,1.46058e-06,-1.92554,0.374183,0.0,0.0,0.0,0.896,47.2912,0.000603307,0.000351018,5.52631e-07,7.61967e-07,4.95158e-07,6.82723e-07,-2.08118,0.599469,0.0,0.0,0.896,10.68,29.2152,5.19874e-05,3.09659e-05,1.00798e-07,1.49437e-07,9.8621e-07,1.46209e-06,-1.79634,0.479395,0.0,0.0,780.0,1.0,2.96,6.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,b'GRB120830297',0.0,0.896,0.231,0.896,3.0693e-06,2.7188e-08,5.740204753477574,3.920480987514188,0.35057419181263366,2.8524632541532196,4.979012956620224,6.716713191731623,0.6006167986418389,4.463130615581588,-0.66,0.896
67,GRB090228204,b'GRB090228A      ',54890.2037037,257489602.92,98.6,-28.79,237.467,-16.1131,0.21,0.0,0.0,23.8033,56.6437,1,4.38,b'P8_TRANSIENT020E              ',0.0,0,0.0,0.0,0.0,0.09,2.0,0.135,2.09,0.08,2.35,0.0,10.0,60.4479,9.31307e-05,3.92687e-05,1.95619e-07,2.08498e-07,1.95619e-06,2.08498e-06,-1.77001,0.333113,0.0,0.0,0.09,2.09,37.727,0.000319539,0.000162763,4.417e-07,5.74582e-07,8.834e-07,1.14916e-06,-1.91434,0.460421,0.0,0.0,0.0,0.448,12.4343,0.00173344,0.0,1.92039e-06,0.0,8.60333e-07,0.0,-4.50637,3.26964,0.0,0.0,0.448,2.09,39.2447,0.000388099,0.000197478,5.38023e-07,6.98548e-07,8.83434e-07,1.14702e-06,-1.91327,0.459209,0.0,0.0,700.0,0.92,2.09,5.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,b'GRB090228204',0.0,0.448,0.143,0.448,6.1936e-06,2.6491e-08,5.424815124288428,4.34772470002264,0.9738883857822052,1.0268117112792372,3.871692429894307,4.958774340589459,1.1107612984562851,1.3357153567281503,-0.09,0.448
74,GRB110921912,b'GRB110921B      ',55825.9116319,338334767.09,5.77,-26.59,36.1869,-83.6533,0.39,0.0,0.0,33.9401,21.1935,1,0.81,b'P8_TRANSIENT010E              ',7.1,1,17.073,0.935,18.008,7.4,314.22,52.685,321.62,6.73,426.32001,0.0,500.0,55.2979,4.37988e-06,1.44752e-06,6.00112e-09,4.30769e-09,3.00056e-06,2.15384e-06,-1.9176,0.269647,0.0,0.0,7.4,321.62,54.7957,6.27929e-06,2.15513e-06,1.0534e-08,7.91962e-09,3.30999e-06,2.4885e-06,-1.84533,0.264268,0.0,0.0,0.896,18.56,43.0495,5.55691e-05,2.58089e-05,6.33728e-08,6.74177e-08,1.11942e-06,1.19087e-06,-1.98815,0.417368,0.0,0.0,18.56,321.62,36.347,4.4273e-06,1.88324e-06,6.70372e-09,6.14242e-09,2.03163e-06,1.86152e-06,-1.8813,0.336938,0.0,0.0,2000.0,1.0,202.48,10.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,b'GRB110921912',0.896,17.664,0.345,18.56,3.6311e-05,7.8966e-08,8.849583312763068,6.01602430225935,0.3381943752095928,2.9568794554322775,6.616052625482503,8.256526206888905,0.46414566964644977,3.7739946850156354,-6.5040000000000004,16.729000000000003
78,GRB200415367,b'GRB200415A      ',58954.3667245,608633290.56,11.08,-25.0,85.6272,-87.3384,0.56,0.0,0.0,49.1127,42.3634,0,0.67,b'P8_TRANSIENT010E              ',0.0,0,0.0,0.0,0.0,19.18,451.98001,94.195,471.16,17.89,658.26001,19.18,471.16,30.5781,4.472e-06,2.49967e-06,1.36007e-08,1.3662e-08,6.14724e-06,6.17494e-06,-1.65339,0.336521,0.0,0.0,19.18,471.16,30.5781,4.472e-06,2.49967e-06,1.36007e-08,1.3662e-08,6.14724e-06,6.17494e-06,-1.65339,0.336521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.128,471.16,30.5375,4.21301e-06,2.35749e-06,1.28645e-08,1.29295e-08,6.05958e-06,6.09019e-06,-1.65216,0.336557,0.0,0.0,1700.0,1.0,284.06,4.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,b'GRB200415367',-0.016,0.144,0.036,0.128,5.0136e-06,1.6154e-08,0.0,0.0,0.0,inf,,,,,-19.18,0.144
85,GRB131014215,b'GRB131014A      ',56579.2145833,403420143.2,100.78,-20.76,230.7301,-11.0592,0.81,0.0,0.0,72.501,76.0067,1,3.3,b'P8_TRANSIENT020E              ',17.0,1,1.682,1.811,3.493,1.85,198.60001,4.955,200.45,1.83,210.34,1.85,200.45,155.255,6.05895e-05,1.27473e-05,8.60071e-08,4.99144e-08,1.7081e-05,9.91299e-06,-1.9046,0.182136,0.0,0.0,1.85,200.45,155.255,6.05895e-05,1.27473e-05,8.60071e-08,4.99144e-08,1.7081e-05,9.91299e-06,-1.9046,0.182136,0.0,0.0,0.96,4.16,131.946,0.00383231,0.00129106,4.36076e-06,3.18297e-06,1.39544e-05,1.01855e-05,-1.98904,0.309298,0.0,0.0,4.16,200.45,82.464,3.81317e-05,1.01995e-05,4.49811e-08,2.83933e-08,8.82934e-06,5.57331e-06,-1.97473,0.245834,0.0,0.0,1800.0,0.98,14.37,23.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00711762,0.816273,0.174624,-2.89022,0.340967,0.816273,0.174624,98.0,b'GRB131014215',0.96,3.2,0.091,4.16,0.00019793,1.5013e-07,63.250398171300304,50.70232573822394,0.8169545108600198,1.2240583615203808,35.99617862593031,53.49331480203512,0.8619257468943589,1.2642344851770237,-0.8900000000000001,1.3890000000000002
87,GRB130325203,b'GRB130325A      ',56376.2027083,385879917.3,122.97,-19.15,239.3172,8.0184,0.18,0.0,0.0,47.2896,76.1103,1,4.69,b'P8_TRANSIENT010E              ',0.0,0,0.0,0.0,0.0,324.07999,705.65997,187.13,1029.73999,150.99001,1230.91003,0.0,10000.0,64.1314,8.07904e-07,2.14781e-07,7.85226e-10,3.67918e-10,7.85226e-06,3.67917e-06,-2.05487,0.216888,0.0,0.0,324.07999,1029.73999,33.4173,1.18272e-06,6.30778e-07,5.75707e-09,5.47828e-09,4.06253e-06,3.8658e-06,-1.51192,0.312603,0.0,0.0,0.768,7.68,7.3821,0.000167287,0.0,1.85329e-07,0.0,1.28099e-06,0.0,-2.49089,1.33256,0.0,0.0,7.68,1029.73999,36.424,1.29854e-06,5.66023e-07,3.50933e-09,2.9834e-09,3.58674e-06,3.04922e-06,-1.68985,0.282935,0.0,0.0,5300.0,1.0,828.57001,4.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00167652,0.129019,0.323275,-5.55652,0.954267,0.129019,0.323275,60.0,b'GRB130325203',0.768,6.912,0.724,7.68,7.4368e-06,2.936e-08,141.4426068722944,32.19154882605214,0.315318286880343,3.171398683830475,103.29458389726742,31.402428115964906,0.30758882898993595,3.0178221531784013,-323.31199000000004,6.912
90,GRB130310840,b'GRB130310A      ',56361.8400579,384638984.5,142.38,-17.1,249.1022,24.0312,0.47,0.0,0.0,75.6174,49.7983,1,2.35,b'P8_TRANSIENT010E              ',11.0,1,4.132,0.078,4.21,67.23,492.84,31.86,560.07001,3.51,560.07001,20.096,560.07001,53.6175,7.09109e-06,2.17995e-06,6.92263e-09,4.20079e-09,3.73804e-06,2.26832e-06,-2.05295,0.272376,0.0,0.0,67.23,560.07001,48.4391,6.61185e-06,2.1447e-06,5.98731e-09,3.72627e-09,2.95078e-06,1.83646e-06,-2.08639,0.292794,0.0,0.0,4.096,20.096,14.1814,0.00101043,0.0,1.11941e-06,0.0,1.79105e-05,0.0,-2.12832,0.751521,0.0,0.0,20.096,560.07001,53.6175,7.09109e-06,2.17995e-06,6.92263e-09,4.20079e-09,3.73804e-06,2.26832e-06,-2.05295,0.272376,0.0,0.0,1400.0,1.0,329.89999,11.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,b'GRB130310840',4.096,16.0,2.561,20.096,1.1295e-05,6.7067e-08,152.8210712584224,186.96376168930624,6.069751048875212,0.16475140280840847,87.03722167659058,147.49548457349027,4.788430627274709,0.10253538427179587,-63.134,15.922
97,GRB110120666,b'GRB110120A      ',55581.6664236,317231981.23,61.62,-12.02,204.5281,-41.9733,0.2,0.0,0.0,14.6458,31.4977,1,1.16,b'P8_TRANSIENT010E              ',6.6,1,0.295,0.231,0.526,0.58,1112.27002,223.13,1112.84998,0.29,1558.81995,0.58,1112.84998,74.2733,2.38665e-06,6.73468e-07,2.44167e-09,1.42798e-09,2.7158e-06,1.5883e-06,-2.03285,0.252284,0.0,0.0,0.58,1112.84998,74.2733,2.38665e-06,6.73468e-07,2.44167e-09,1.42798e-09,2.7158e-06,1.5883e-06,-2.03285,0.252284,0.0,0.0,0.003,26.176,18.2938,4.81127e-05,0.0,5.33017e-08,0.0,1.39506e-06,0.0,-2.67255,0.929262,0.0,0.0,26.176,1112.84998,62.9748,2.06683e-06,6.4081e-07,2.30824e-09,1.48453e-09,2.5083e-06,1.6132e-06,-1.99657,0.266847,0.0,0.0,2000.0,1.0,72.46,10.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00869437,0.552345,0.41672,-3.91038,1.10385,0.552345,0.41672,67.0,b'GRB110120666',0.003,26.173,1.568,26.176,1.8853e-05,4.3905e-08,20.15909328975761,21.83001797949764,0.5136828927019663,1.9467263056786088,10.70865950119729,16.694432950227156,0.3928370838806585,1.138517339755996,-0.577,25.941999999999997
107,GRB170228794,b'GRB170228A      ',57812.79375,510001385.71,239.66,-6.49,3.3754,33.6273,2.02,0.0,0.0,65.1176,31.9533,0,2.27,b'P8_TRANSIENT020E              ',0.0,0,0.0,0.0,0.0,6.45,65.97,10.3,72.42,5.72,92.29,0.0,100.0,17.5248,5.26333e-05,0.0,5.83098e-08,0.0,5.83098e-06,0.0,-2.57918,0.5858,0.0,0.0,6.45,72.42,16.8903,6.81781e-05,0.0,7.55311e-08,0.0,4.98279e-06,0.0,-2.65695,0.674529,0.0,0.0,1.568,62.241,15.3922,7.537e-05,0.0,8.34986e-08,0.0,5.06611e-06,0.0,-2.65254,0.671971,0.0,0.0,62.241,72.42,6.9606,0.000196254,0.0,2.1742e-07,0.0,2.21311e-06,0.0,-2.4903,1.35556,0.0,0.0,340.0,0.97,9.47,6.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,b'GRB170228794',1.568,60.673,2.111,62.241,2.0497e-05,3.7152e-08,1.105486952555146,1.1054863493315998,1.0167215555943558,0.9835534562020959,0.0,0.0,0.0,0.0,-4.882,60.673
110,GRB080825593,b'GRB080825C      ',54703.5929167,241366429.11,234.83,-3.84,2.1255,39.026,0.65,0.0,0.0,60.223,26.2922,0,4.06,b'P8_TRANSIENT020E              ',8.5,1,2.844,1.203,4.047,3.06,170.45,0.66,173.50999,2.98,174.75,0.0,100.0,87.1023,8.04357e-05,2.14799e-05,2.61691e-08,8.16495e-09,2.61691e-06,8.16495e-07,-2.96561,0.419983,0.0,0.0,3.06,173.50999,85.8878,4.90571e-05,1.30792e-05,1.71071e-08,5.58889e-09,2.91591e-06,9.52627e-07,-2.84364,0.385928,0.0,0.0,1.216,22.208,50.8922,0.000211567,7.40948e-05,5.25227e-08,1.90751e-08,1.10256e-06,4.00425e-07,-3.8103,0.821205,0.0,0.0,22.208,173.50999,22.5581,2.62378e-05,1.07868e-05,1.39666e-08,8.56082e-09,2.11318e-06,1.29527e-06,-2.38968,0.418116,0.0,0.0,680.0,1.0,28.28,13.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.57722e-05,1.45286,0.0336855,-1.91415,0.0693467,1.45286,0.0336855,56.0,b'GRB080825593',1.216,20.992,0.231,22.208,3.4194e-05,9.6983e-08,4.3126682987783616,3.07022815088472,0.37811866621397777,2.644672398781019,2.690721994195102,2.07915531884228,0.2560613447406604,1.812922882212474,-1.844,19.789
